elementTag,nivel,orientacion,eje_x_i,eje_x_j,eje_y_i,eje_y_j,longitud_m,A_tributaria_m2,SC_peso_trib_kN,w_Q_zon_kN_m,origen,n_fuentes
200075,PISO_2,Y,I',I',1,2,8.9,9.5625,23.44402265625,2.6341598490168536,PISO_2_P51:X1,1
200076,PISO_2,Y,E,E,2,3,7.249999999999998,13.140625,51.5462040625,7.109821250000002,PISO_2_P12:X0,1
200077,PISO_2,Y,F,F,2,3,7.249999999999998,26.28125,103.092408125,14.219642500000004,PISO_2_P12:X1;PISO_2_P22:X0,2
200078,PISO_2,Y,G,G,2,3,7.249999999999998,26.28125,77.31930609375,10.664731875000003,PISO_2_P22:X1;PISO_2_P32:X0,2
200079,PISO_2,Y,H,H,2,3,7.249999999999998,26.28125,51.5462040625,7.109821250000002,PISO_2_P32:X1;PISO_2_P42:X0,2
200080,PISO_2,Y,I,I,2,3,7.249999999999998,20.640625,44.16057078125,6.091113211206898,PISO_2_P42:X1;PISO_2_P52:X0,2
200081,PISO_2,Y,I',I',2,3,7.249999999999998,7.5,18.38746875,2.536202586206897,PISO_2_P52:X1,1
200001,PISO_3,X,E,F,1,1,10.0,24.697499999999998,48.439947675,4.8439947675,PISO_3_P11:Y0,1
200002,PISO_3,X,F,G,1,1,10.0,24.697499999999998,48.439947675,4.8439947675,PISO_3_P21:Y0,1
200003,PISO_3,X,G,H,1,1,10.0,24.697499999999998,72.65992151249999,7.265992151249999,PISO_3_P31:Y0,1
200004,PISO_3,X,H,I,1,1,10.0,24.697499999999998,72.65992151249999,7.265992151249999,PISO_3_P41:Y0,1
200005,PISO_3,X,I,I',1,1,2.5,1.5625,7.6614453125,3.0645781249999997,PISO_3_P51:Y0,1
200006,PISO_3,X,E,F,2,2,10.0,47.806875,139.0901686125,13.90901686125,PISO_3_P11:Y1;PISO_3_P12:Y0,2
200007,PISO_3,X,F,G,2,2,10.0,47.806875,139.0901686125,13.90901686125,PISO_3_P21:Y1;PISO_3_P22:Y0,2
200008,PISO_3,X,G,H,2,2,10.0,47.806875,117.98503198124999,11.798503198125,PISO_3_P31:Y1;PISO_3_P32:Y0,2
200009,PISO_3,X,H,I,2,2,10.0,47.806875,117.98503198124999,11.798503198125,PISO_3_P41:Y1;PISO_3_P42:Y0,2
200010,PISO_3,X,I,I',2,2,2.5,3.125,15.322890625,6.129156249999999,PISO_3_P51:Y1;PISO_3_P52:Y0,2
200011,PISO_3,X,E,F,3,3,10.0,23.109375,90.6502209375,9.065022093749999,PISO_3_P12:Y1,1
200012,PISO_3,X,F,G,3,3,10.0,23.109375,90.6502209375,9.065022093749999,PISO_3_P22:Y1,1
200013,PISO_3,X,G,H,3,3,10.0,23.109375,45.32511046875,4.532511046874999,PISO_3_P32:Y1,1
200014,PISO_3,X,H,I,3,3,10.0,23.109375,45.32511046875,4.532511046874999,PISO_3_P42:Y1,1
200015,PISO_3,X,I,I',3,3,2.5,1.5625,7.6614453125,3.0645781249999997,PISO_3_P52:Y1,1
200016,PISO_3,Y,E,E,1,2,8.9,19.802500000000002,38.839237325000006,4.363959250000001,PISO_3_P11:X0,1
200017,PISO_3,Y,E,E,2,3,7.249999999999998,13.140625,51.5462040625,7.109821250000002,PISO_3_P12:X0,1
200018,PISO_3,Y,F,F,1,2,8.9,39.605000000000004,77.67847465000001,8.727918500000001,PISO_3_P11:X1;PISO_3_P21:X0,2
200019,PISO_3,Y,F,F,2,3,7.249999999999998,26.28125,103.092408125,14.219642500000004,PISO_3_P12:X1;PISO_3_P22:X0,2
200020,PISO_3,Y,G,G,1,2,8.9,39.605000000000004,97.09809331250001,10.909898125000002,PISO_3_P21:X1;PISO_3_P31:X0,2
200021,PISO_3,Y,G,G,2,3,7.249999999999998,26.28125,77.31930609375,10.664731875000003,PISO_3_P22:X1;PISO_3_P32:X0,2
200022,PISO_3,Y,H,H,1,2,8.9,39.605000000000004,116.51771197500001,13.09187775,PISO_3_P31:X1;PISO_3_P41:X0,2
200023,PISO_3,Y,H,H,2,3,7.249999999999998,26.28125,51.5462040625,7.109821250000002,PISO_3_P32:X1;PISO_3_P42:X0,2
