tag,familia,tipo,indice,nodo_bajo,nodo_alto,nivel_bajo,nivel_alto,x,y,A,Iy,Iz,J,nota
70028,pilastra,pilastra,2,700028,700029,L2,L3,7.646,7.92,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70029,pilastra,pilastra,2,700029,700030,L3,L4,7.646,7.92,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70030,pilastra,pilastra,2,700030,245,L4,ROOF,7.646,7.92,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70031,pilastra,pilastra,3,700031,700032,B1,L1,8.246,7.92,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70032,pilastra,pilastra,3,700032,700033,L1,L2,8.246,7.92,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70033,pilastra,pilastra,3,700033,700034,L2,L3,8.246,7.92,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70034,pilastra,pilastra,3,700034,700035,L3,L4,8.246,7.92,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70035,pilastra,pilastra,3,700035,246,L4,ROOF,8.246,7.92,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70036,pilastra,pilastra,4,700036,700037,B1,L1,8.296,2.9,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70037,pilastra,pilastra,4,700037,700038,L1,L2,8.296,2.9,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
