level,beam_id,element_tag,receiver_type,receiver_id,tributary_area_m2,total_slab_load_kN,beam_length_m,equivalent_uniform_load_kN_m,status
L1,L1_BD_V60_12,2124,BEAM,L1_BD_V60_12,6.375,38.774025,5.0,7.754805,TRANSFERIDO
L2,L2_V001,2021,BEAM,L2_V001,1.793809,10.910304,1.9,5.742265,TRANSFERIDO
L2,,,WALL,M002,1.026109,6.240999,,,WALL_EDGE_PENDING
L2,L2_V30_01,2085,BEAM,L2_V30_01,3.362698,20.452602,1.85,11.05546,TRANSFERIDO
L2,L2_V40_01,2101,BEAM,L2_V40_01,3.863588,23.499116,2.44,9.630785,TRANSFERIDO
L2,,,WALL,M001,1.655824,10.07105,,,WALL_EDGE_PENDING
L2,L2_V009,2029,BEAM,L2_V009,8.883744,54.032708,4.265,12.668865,TRANSFERIDO
L2,L2_V40_02,2102,BEAM,L2_V40_02,7.555548,45.954356,4.635,9.91464,TRANSFERIDO
L2,L2_V010,2030,BEAM,L2_V010,11.418048,69.446854,4.635,14.98314,TRANSFERIDO
L2,L2_V30_03,2087,BEAM,L2_V30_03,3.362142,20.44922,1.85,11.053632,TRANSFERIDO
L2,L2_V40_03,2103,BEAM,L2_V40_03,4.751125,28.897292,2.985,9.680835,TRANSFERIDO
L2,L2_V011,2031,BEAM,L2_V011,5.768512,35.085247,2.985,11.753852,TRANSFERIDO
L2,L2_V006,2026,BEAM,L2_V006,1.713526,10.422011,1.9,5.485269,TRANSFERIDO
L2,,,WALL,M004,1.018582,6.195222,,,WALL_EDGE_PENDING
L2,L2_V40_04,2104,BEAM,L2_V40_04,3.863588,23.499116,2.44,9.630785,TRANSFERIDO
L2,,,WALL,M003,1.66335,10.116827,,,WALL_EDGE_PENDING
L2,L2_V012,2032,BEAM,L2_V012,8.961518,54.505743,4.265,12.779776,TRANSFERIDO
L2,L2_V002,2022,BEAM,L2_V002,3.527406,21.454388,3.75,5.72117,TRANSFERIDO
L2,L2_V30_02,2086,BEAM,L2_V30_02,6.978112,42.442271,3.75,11.317939,TRANSFERIDO
L2,L2_V013,2033,BEAM,L2_V013,10.79045,65.629675,4.265,15.387966,TRANSFERIDO
L2,L2_V004,2024,BEAM,L2_V004,6.921655,42.098889,3.75,11.22637,TRANSFERIDO
L2,L2_V014,2034,BEAM,L2_V014,12.031065,73.175341,4.635,15.78756,TRANSFERIDO
L2,L2_V30_04,2088,BEAM,L2_V30_04,6.907471,42.012618,3.75,11.203365,TRANSFERIDO
L2,L2_V015,2035,BEAM,L2_V015,6.11925,37.218502,2.985,12.46851,TRANSFERIDO
L2,L2_V007,2027,BEAM,L2_V007,3.434579,20.889799,3.75,5.570613,TRANSFERIDO
L2,L2_V016,2036,BEAM,L2_V016,10.848153,65.980636,4.265,15.470255,TRANSFERIDO
L2,L2_V003,2023,BEAM,L2_V003,3.532424,21.484906,3.75,5.729308,TRANSFERIDO
L2,L2_V017,2037,BEAM,L2_V017,13.564047,82.499247,4.265,19.343317,TRANSFERIDO
L2,L2_V005,2025,BEAM,L2_V005,7.043542,42.840233,3.75,11.424062,TRANSFERIDO
L2,L2_V018,2038,BEAM,L2_V018,15.260419,92.816923,4.635,20.025226,TRANSFERIDO
L2,L2_V019,2039,BEAM,L2_V019,8.140762,49.513746,2.985,16.587519,TRANSFERIDO
L2,L2_V008,2028,BEAM,L2_V008,3.434579,20.889799,3.75,5.570613,TRANSFERIDO
L2,L2_V020,2040,BEAM,L2_V020,13.656874,83.063836,4.265,19.475694,TRANSFERIDO
L2,L2_BD_V60_01,2131,BEAM,L2_BD_V60_01,6.25,38.01375,5.0,7.60275,TRANSFERIDO
L2,L2_BD_V60_05,2135,BEAM,L2_BD_V60_05,12.5,76.0275,5.0,15.2055,TRANSFERIDO
L2,L2_BD_V60_13,2143,BEAM,L2_BD_V60_13,32.0075,194.676016,8.9,21.87371,TRANSFERIDO
