caso,N4001_kN,N4002_kN,Mz1_4001_kN_m,Mz1_4002_kN_m,par_axial_kN_m,N_muro_kN,M_muro_kN_m,My_muro_kN_m,N_col_kN,M_col_kN_m
G,0.0,244.1054462112516,-12.633096328409014,-39.34097440704388,-356.39395146842736,244.1054462112516,408.3680222038803,18.83601453937748,1063.4937064410271,8.361631846003226
Q,0.0,160.58403552035446,-8.302618630893004,-25.867671982005824,-234.4526918597175,160.58403552035446,268.62298247261634,12.539031366538651,598.1829501966524,5.002740925411315
EX,0.0,0.11282174461629828,299.4340507574691,301.0918193604773,-0.16471974713979548,0.11282174461629828,600.3611503708066,942.0665022132519,0.12621416529510593,348.973663330188
EY,0.0,-82.18247978711408,4343.575161014324,4372.675285072908,119.98642048918654,-82.18247978711408,8836.23686657642,8.41044694711636,30.018400452254586,115.46838897656153
COMBO_R,0.0,404.8023034762224,278.49833579816834,235.88317297142885,-591.0113630752846,404.8023034762224,76.62985430568745,910.6914563073339,1661.8028708029738,341.14029150764406
