caso,N_col,M_col,M_cap_col,dentro_col,N_muro,M_muro,My_muro,M_cap_muro_fuerte,dentro_fuerte,M_cap_muro_debil,dentro_debil
G,1063.734765861186,6.958811963158814,1025.4323409133058,True,492.01838867307737,737.9040316934187,18.84968003920277,5691.654059462187,True,1637.9129139396882,True
Q,598.2776097868522,3.844111953854425,909.4616405116607,True,323.65161227902735,485.22453340604255,12.487432194239245,5479.746580991086,True,1594.175946529933,True
EX,1.5690453145373089,178.11312799572863,755.1336707957614,True,-31.351912455673588,303.310117382826,493.478997561392,5030.365922877617,True,1501.7430212664801,True
EY,-0.540849290841208,64.87255063599892,754.5631952123123,True,-129.9896261028665,8740.85336747391,22.10023797857943,4904.694311432987,False,1475.7336678676932,True
COMBO_R,1663.5814209625732,177.7812332212251,1168.9779915011748,True,784.318088496431,919.8184477166353,462.1418853279515,6056.684068074126,True,1713.0889659122943,True
