P_kN,M_kN_m
-19582.849350939712,0.0
-19000.0,138.54246690082064
-16500.0,668.0443486608565
-13000.0,1351.5671264873667
-9000.0,1783.796958264717
-6000.0,1850.939029629215
-3000.0,1460.4945066946002
-1600.0,1153.9974818946278
-1000.0,1009.816057768318
-500.0,884.599900942671
-250.0,820.0821402909114
0.0,754.7181387747039
