P_kN,M_kN_m
-64929.06164044404,0.0
-55000.0,8932.93971638113
-52000.0,11458.766658816176
-35000.0,22507.42682851716
-16000.0,21003.16548038397
-8000.0,14179.845530508506
-3000.0,8729.839120034188
-1200.0,6571.439915246831
-800.0,6076.259376461378
-500.0,5701.625744260237
-250.0,5386.554209940082
0.0,5070.070896230778
