P_kN,M_kN_m
-65110.01737729082,0.0
-60000.0,990.903388340556
-52000.0,2424.83279459188
-35000.0,4715.601706975768
-16000.0,4447.091417538866
-8000.0,3098.1887727978924
-3000.0,2073.116718255826
-1200.0,1772.6043493747359
-800.0,1681.1027161375962
-500.0,1609.5397970943377
-250.0,1552.191049977652
0.0,1493.6106130336468
