piso,master_tag,UX_m,UY_m,RZ_rad
L1,1001,0.004080163719325486,7.145412046277536e-07,-6.254625682068487e-06
L2,1002,0.009150420833223193,-7.662277943166096e-06,-1.2045315270934289e-05
L3,1003,0.010203597210285666,-3.521132662630055e-05,-1.0080822456888793e-05
L4,1004,0.01109905023751504,-6.476274040647586e-05,-9.129563985022919e-06
ROOF,1005,0.011602286649519757,-9.220281828621687e-05,-8.076672861463416e-06
