piso,master_tag,W_sismico_kN,F_i_kN
L1,1001,10300.026862531657,2060.0053725063312
L2,1002,10214.709007531656,2042.941801506331
L3,1003,10109.973985531657,2021.9947971063314
L4,1004,10295.662903281656,2059.1325806563314
