piso,master_tag,UX_m,UY_m,RZ_rad
L1,1001,-7.674707992750004e-06,0.0016655592069203826,-9.203566196435702e-06
L2,1002,-1.9601545556943653e-05,0.004506880512112698,-4.267426976442175e-05
L3,1003,-2.75443613445652e-05,0.006586995283283935,-9.515113587526197e-05
L4,1004,-5.205323173124607e-05,0.007966013839641337,-0.0001256267104805671
ROOF,1005,-7.752532612276174e-05,0.008706509848390356,-0.00014028594209134255
