caso,F_total_kN,corte_basal_kN,err_abs_kN,err_rel,PASS,sum_Rx_kN,sum_Ry_kN,sum_Rz_kN,analyze_rc
EX,8021.852134694211,8021.852134679599,1.4612e-08,1.8215172298536597e-12,PASS,-8021.852134679599,4.371e-09,-1.6941e-08,0
EY,8021.852134694211,8021.852134616869,7.7342e-08,9.641365753286164e-12,PASS,1.093e-09,-8021.852134616869,1.83e-10,0
