piso,master_tag,G_LT2_kN,G_LT1_kN,Q_LT2_kN,Q_LT1_kN,G_i_kN,Q_i_kN,half_Q_i_kN,W_sismico_kN
L1,1001,2817.165657783,4980.969151374999,1852.728064044528,2745.5,7798.1348091579985,4598.228064044528,2299.114032022264,10097.248841180262
L2,1002,2817.165657783,4895.651296374999,1852.728064044528,2745.5,7712.816954157999,4598.228064044528,2299.114032022264,10011.930986180263
L3,1003,2817.165657783,4790.916274375,1852.728064044528,2745.5,7608.081932158,4598.228064044528,2299.114032022264,9907.195964180264
L4,1004,2817.165657783,4976.605192124999,1852.728064044528,2745.5,7793.770849907999,4598.228064044528,2299.114032022264,10092.884881930262
ROOF,1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
