code,x0_m,y0_m,z0_m,x1_m,y1_m,z1_m,diameter_mm,spacing_cm,layer,direction,level,pano_id,z_approximation
LT2:200I:01,0.0,0.09969135802469135,-7.97,31.475,0.09969135802469135,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,0.29907407407407405,-7.97,31.475,0.29907407407407405,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,0.4984567901234568,-7.97,31.475,0.4984567901234568,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,0.6978395061728394,-7.97,31.475,0.6978395061728394,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,0.8972222222222221,-7.97,31.475,0.8972222222222221,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,1.0966049382716048,-7.97,31.475,1.0966049382716048,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,1.2959876543209876,-7.97,31.475,1.2959876543209876,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,1.4953703703703702,-7.97,31.475,1.4953703703703702,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,1.6947530864197529,-7.97,31.475,1.6947530864197529,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,1.8941358024691355,-7.97,31.475,1.8941358024691355,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,2.0935185185185183,-7.97,31.475,2.0935185185185183,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,2.292901234567901,-7.97,31.475,2.292901234567901,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,2.4922839506172836,-7.97,31.475,2.4922839506172836,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,2.6916666666666664,-7.97,31.475,2.6916666666666664,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,2.8910493827160493,-7.97,31.475,2.8910493827160493,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,3.090432098765432,-7.97,31.475,3.090432098765432,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,3.2898148148148145,-7.97,31.475,3.2898148148148145,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,3.4891975308641974,-7.97,31.475,3.4891975308641974,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,3.6885802469135798,-7.97,31.475,3.6885802469135798,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,3.8879629629629626,-7.97,31.475,3.8879629629629626,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,4.087345679012346,-7.97,31.475,4.087345679012346,-7.97,12,20,lower,X,B1,_,True
LT2:200I:01,0.0,4.286728395061728,-7.97,31.475,4.286728395061728,-7.97,12,20,lower,X,B1,_,True
