code,building,drawing,sheet,floor,layer,direction,zone_text,zone_kind,x1_m,x2_m,y1_m,y2_m,axis,pano_ids,diameter_mm,spacing_cm,length_cm,classification,status,resolution,note,category,bar_count,level_start,level_end,orientation,lap_anchorage,face_edge,wall_parents,source,geometry_pending,record_type,section,bar_type,column_tags,n_columns,beam_id,axes_text,group,kind,longitudinal,stirrups,detail_reference,confidence,beam_ids,physical_bar_id,bar_layer,start_axis,end_axis,start_station_cm,end_station_cm,anchor_left_cm,anchor_right_cm,continuity_across_support,beam_kind,zone_type,count,part,notation,levels
LT2:201S:11,LT2,2024_22-201S-Model,201S,LOSA CIELO 1° SUB A CIELO PISO 3° (SUPERIOR),upper,BOTH,estribos del rectangulo rojo entre 1A'-2 sobre eje A',FREE_TEXT,,,,,,,8,15,,STIRRUP,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,"estribos Φ8@15 del rectangulo rojo; refuerzo especial local, NO malla general.",mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:202I:02,LT2,2024_22-202I-Model,202I,LOSA CIELO PISO 4° (INFERIOR),lower,BOTH,eje 1' (inferior),FREE_TEXT,,,,,,,10,20,,MESH,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,eje 1' no existe en la grilla modelada LT2.,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:202I:04,LT2,2024_22-202I-Model,202I,LOSA CIELO PISO 4° (INFERIOR),lower,X,ejes horizontales: sector Φ8@36,FREE_TEXT,,,,,,,8,36,,MESH,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,sector de ejes horizontales Φ8@36; la particion de sectores requiere el plano (NO asignar a toda la direccion).,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:202I:05,LT2,2024_22-202I-Model,202I,LOSA CIELO PISO 4° (INFERIOR),lower,X,ejes horizontales: sector Φ8@18,FREE_TEXT,,,,,,,8,18,,MESH,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,sector de ejes horizontales Φ8@18; la particion de sectores requiere el plano (NO asignar a toda la direccion).,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:200S:07,LT2,2024_22-200S-Model,200S,FUNDACION SUPERIOR (200S),,BOTH,eje D (3 trabas),BAND,31.25,31.25,0.0,16.15,D,,16,10,,LOCAL,EXACT,RESOLVED,"3 trabas sobre el eje D, Φ16@10 (eje D resoluble como franja del modelo).",local,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:201S:01,LT2,2024_22-201S-Model,201S,LOSA CIELO 1° SUB A CIELO PISO 3° (SUPERIOR),,BOTH,perimetro (2Φ16),BAND,0.0,31.475,8.9,8.9,2,,16,,,LOCAL,EXACT,RESOLVED,barras perimetrales de la losa superior.,local,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:202S:01,LT2,2024_22-202S-Model,202S,LOSA CIELO PISO 4° (SUPERIOR),,BOTH,cuadrados con cruces (2Φ16),BAND,0.0,31.475,8.9,8.9,2,,16,,,LOCAL,EXACT,RESOLVED,cuadrados con cruces de la losa superior.,local,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:202S:02,LT2,2024_22-202S-Model,202S,LOSA CIELO PISO 4° (SUPERIOR),,BOTH,perimetro (1Φ16),BAND,0.0,31.475,0.0,0.0,1,,16,,,LOCAL,EXACT,RESOLVED,barras perimetrales.,local,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:201S:10,LT2,2024_22-201S-Model,201S,LOSA CIELO 1° SUB A CIELO PISO 3° (SUPERIOR),,BOTH,rectangulo rojo con cruz entre 1A'-2 sobre eje A' (2Φ16),FREE_TEXT,,,,,,,16,,,LOCAL,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,longitudinal 2Φ16 del rectangulo rojo con cruz; eje 1A' no modelado (grilla tiene 1A).,local,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:300:01,LT2,2024_22-300-300-Model,300,,,,,,,,,,1,,,,,BOUNDARY,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Muro(s) FE del modelo: M002.,walls,,B1,L3,VERTICAL,,borde,M002,EXACT_DRAWING,True,BOUNDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:300:02,LT2,2024_22-300-300-Model,300,,,,,,,,,,1,,22,,,BOUNDARY,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Muro(s) FE del modelo: M002.,walls,,L3,ROOF,VERTICAL,,borde,M002,EXACT_DRAWING,True,BOUNDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:300:03,LT2,2024_22-300-300-Model,300,,,,,,,,,,1,,,,,DISTRIBUTED,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Muro(s) FE del modelo: M002.,walls,,B1,ROOF,VERTICAL,,,M002,EXACT_DRAWING,True,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:300:04,LT2,2024_22-300-300-Model,300,,,,,,,,,,1,,,,,DISTRIBUTED,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Muro(s) FE del modelo: M002.,walls,,B1,ROOF,HORIZONTAL,,,M002,EXACT_DRAWING,True,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:300:05,LT2,2024_22-300-300-Model,300,,,,,,,,,,1,,,,,LOCAL,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Muro(s) FE del modelo: M002.",walls,,B1,ROOF,VERTICAL,,,M002,EXACT_DRAWING,True,LOCAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
